110337,Mercedes-Benz,Classe C,(206) Berline03/2021 - Aujourd'hui,berline,Bleu,Noir,Similicuir,5,4,180 1.5 i 16V EQ Boost 9G-TRONIC,,hybride leger essence,automatique,10 cv,propulsion,1496 cm³,"36,000 km",07-2021,tres bon,1ere main,"206,000 DT"
114675,Mercedes-Benz,ML,(163)05/1997 - 04/2005,suv,Noir,Beige,Cuir intégral,07,05,ML270CDi 2.7 CDi 163cv,163 ch dyn,diesel,automatique,9 cv,integrale,cm³,"999,999 km",06-2001,normal,2eme main,"35,000 DT"
114674,Peugeot,Expert,III VUL05/2016 - Aujourd'hui,autres,Blanc,Noir,Similicuir,3,4,Compact 2.0 Blue HDi 16V Fourgon court EAT8 S&S,177 ch dyn,diesel,automatique,9 cv,traction,2000 cm³,"69,000 km",05-2020,tres bon,1ere main,"79,000 DT"
114673,Citroën,C3,III (B618)07/2016 - 06/2020,citadine,Gris argent,Gris,Tissu,5,5,1.2 VTi PureTech 12V,82 ch dyn,essence,manuelle,4 cv,traction,1199 cm³,"99,000 km",07-2018,tres bon,1ere main,"37,000 DT"
114613,Suzuki,Baleno,II (EWB)11/2015 - Aujourd'hui,compacte,Gris Shark,Noir,Similicuir,5,5,,,essence,automatique,5 cv,traction,1373 cm³,"87,000 km",11-2018,tres bon,2eme main,"44,000 DT"
113329,Mercedes-Benz,Classe E,(212) Berline02/2009 - 02/2013,berline,Noir,Noir,Cuir intégral,5,4,200 1.8 CGI 16V BlueEFFICIENCY,184 ch dyn,essence,automatique,11 cv,propulsion,1800 cm³,"205,000 km",06-2011,normal,1ere main,"60,000 DT"
113564,Mercedes-Benz,Classe E,(213) Phase 2 Berline07/2020 - 12/2022,berline,Blanc,Noir,Cuir intégral,5,4,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC,,hybride rechargeable essence,automatique,12 cv,integrale,1991 cm³,"30,000 km",12-2021,tres bon,1ere main,"225,000 DT"
114226,Mercedes-Benz,CLS,(257) Coupé12/2017 - Aujourd'hui,berline,Blanc,Noir,Cuir intégral,5,4,300 d 2.0 d 16V 9G-TRONIC,245 ch dyn,diesel,automatique,14 cv,propulsion,2000 cm³,"45,000 km",02-2019,tres bon,1ere main,"275,000 DT"
114459,Mercedes-Benz,Classe E,(212) Berline02/2009 - 02/2013,berline,Noir,Marron,Cuir intégral,5,5,220 CDi 2.1 CDI 16V DPF BlueEFFICIENCY,170 ch dyn,diesel,automatique,10 cv,traction,2143 cm³,"196,000 km",09-2009,tres bon,2eme main,"62,900 DT"
111203,BMW,X5,(E70)12/2006 - 03/2010,suv,Bleu,Marron,Cuir intégral,7,5,30d xDrive 3.0 d 24V,235 ch dyn,diesel,automatique,15 cv,integrale,2993 cm³,"280,000 km",11-2007,tres bon,2eme main,"69,500 DT"
114672,Renault,Symbol,04/2014 - 12/2021,berline,Noir,Noir,Tissu,5,5,1.2,75 ch dyn,essence,manuelle,5 cv,traction,999 cm³,"190,000 km",06-2016,tres bon,2eme main,"29,000 DT"
114253,Volkswagen,Scirocco,,coupe,Gris argent,Gris,Tissu,4,2,,,essence,automatique,9 cv,traction,1390 cm³,"165,000 km",09-2014,tres bon,2eme main,"31,000 DT"
